,72703,72711,72712,72713,KFVE0
2005-10-16,38.18000030517578,20.799999237060547,49.599998474121094,57.369998931884766,34.7599983215332
2005-10-17,2.5,3.75,5.579999923706055,8.130000114440918,0
2005-10-18,0,0,0,0,0
2005-10-19,2.6700000762939453,12.010000228881836,10.210000038146973,8.739999771118164,7.909999847412109
2005-10-20,0,0,5.230000019073486,7.440000057220459,1.7599999904632568
2005-10-21,0,0,0,0,0
2005-10-22,0,0,0,0,0
2005-10-23,23.489999771118164,7.690000057220459,0,11.420000076293945,0
2005-10-24,1,0,0,0,0
2005-10-25,26.190000534057617,32.7400016784668,23.540000915527344,19.219999313354492,27.829999923706055
2005-10-26,20.520000457763672,10.539999961853027,18.25,24.229999542236328,10.84000015258789
2005-10-27,0,0,0,0,0
2005-10-28,0,0,0,0,0
2005-10-29,0,0,0,0,0
2005-10-30,0,0,0,0,0
2005-10-31,0,0,1.7300000190734863,0.5600000023841858,1.4800000190734863
2005-11-01,0,0,0,0,0
2005-11-02,1.0399999618530273,0,0,0,0
2005-11-03,3.0399999618530273,5.75,5.820000171661377,4.690000057220459,7.769999980926514
2005-11-04,0,3.3499999046325684,3.9000000953674316,3.299999952316284,5.949999809265137
2005-11-05,0,2.4200000762939453,0,0,0
2005-11-06,9.670000076293945,18.100000381469727,5.900000095367432,5.320000171661377,11.84000015258789
2005-11-07,14.229999542236328,0,16.280000686645508,17.219999313354492,13.460000038146973
2005-11-08,0,0,0,0,0
2005-11-09,18.530000686645508,10.569999694824219,7.420000076293945,8.989999771118164,6.840000152587891
2005-11-10,15.619999885559082,0,9.050000190734863,11.569999694824219,4.539999961853027
2005-11-11,0,0,0,0,0
2005-11-12,0,0,0,0,0
2005-11-13,0,0,0,0,0
2005-11-14,0,0,0,0,0
2005-11-15,9.979999542236328,10.020000457763672,6.909999847412109,7.730000019073486,4.289999961853027
2005-11-16,21.709999084472656,13.529999732971191,17.420000076293945,16.399999618530273,15.619999885559082
2005-11-17,24.59000015258789,1.4800000190734863,6.96999979019165,11.4399995803833,2.069999933242798
2005-11-18,0,0,0,0,0
2005-11-19,0,0,0,0,0
2005-11-20,0,0,0,0,0
2005-11-21,0,8,0,0,0
2005-11-22,53.779998779296875,35.86000061035156,50.279998779296875,48.849998474121094,46.40999984741211
2005-11-23,3.8399999141693115,0,3.869999885559082,5.789999961853027,3.9000000953674316
2005-11-24,9.819999694824219,11.520000457763672,8.729999542236328,8.59000015258789,7.820000171661377
2005-11-25,2.509999990463257,0,3.7899999618530273,3.8399999141693115,0
2005-11-26,2.869999885559082,2.430000066757202,1.9600000381469727,2.200000047683716,1.5099999904632568
2005-11-27,0,0,1.2899999618530273,1.9500000476837158,0.6100000143051147
2005-11-28,2.7300000190734863,1.7300000190734863,1.090000033378601,0.9399999976158142,1.4299999475479126
2005-11-29,0,3.680000066757202,0,0,0
2005-11-30,19.719999313354492,10.869999885559082,14.630000114440918,11.350000381469727,15.390000343322754
2005-12-01,32.91999816894531,14.319999694824219,16.34000015258789,15.970000267028809,18.6299991607666
2005-12-02,21.65999984741211,5.949999809265137,27.979999542236328,30.1299991607666,18.90999984741211
2005-12-03,0,1.149999976158142,3.609999895095825,0,0
2005-12-04,0,0,0,0,0
2005-12-05,0,0,0,0,0
2005-12-06,0,0,0,0,0
2005-12-07,0,0,0,0,0
2005-12-08,0,0,0,0,0
2005-12-09,2.430000066757202,2.7100000381469727,0.9700000286102295,1.2200000286102295,1.1399999856948853
