station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
72288,39,298.0794871794871,383.23500931715836,85.15552213767114,90.78448768044123,128.90727896453623,0.4542433411138388,0.2856805845428577,0.4324594093484714,0.4542433411138388,0.8599598401890023,28.568058454285772
72497,21,929.5190476190476,749.5343727457291,-179.9846748733184,326.1181297471959,409.0623078288529,-4.393458026836346,-0.19363204587829275,0.44007953239544834,-4.393458026836346,-0.2803933097369659,-19.363204587829276
KBLU0,32,852.328125,1508.3755067852953,656.0473817852956,690.0237203964222,762.0928184069684,-1.4758814108052563,0.7697122299997968,0.8941307884295949,-1.4758814108052563,0.6411395479888601,76.97122299997969
KHHR0,19,136.0157894736842,269.62368082853646,133.60789135485217,133.60789135485217,163.29908477243532,-0.4732199911472674,0.9822969220841974,1.2005891772148245,-0.4732199911472674,0.7524999472028575,98.22969220841973
74702,42,193.6285714285714,254.74831540876343,61.11974398019205,67.57944359373873,75.46411273309934,0.2288764049715084,0.3156545727175331,0.38973645354264086,0.2288764049715084,0.8818067247044187,31.565457271753314
KLVK0,20,161.475,447.7590093610814,286.2840093610813,293.1819897407968,342.8025055213424,-4.10323892039279,1.7729308522129203,2.1229447624792845,-4.10323892039279,0.2464671328097704,177.29308522129202
72492,45,344.3355555555556,504.90726276910056,160.57170721354498,160.57170721354498,173.37413106969396,-0.9459741513439204,0.4663233425153451,0.5035034235426831,-0.9459741513439204,0.9550227808364735,46.63233425153451
72592,38,827.5684210526315,1194.1133805651957,366.5449595125642,366.5449595125642,403.45454188664576,-1.227322463752217,0.4429180115963521,0.4875180488079389,-1.227322463752217,0.9435220503400691,44.29180115963521
KSMF0,20,229.76500000000001,549.5790334640076,319.8140334640075,319.8140334640075,362.74785550956335,-3.814254832616129,1.3919179747307355,1.5787776881142181,-3.814254832616129,0.5531566201114537,139.19179747307356
KCZZ0,18,321.69444444444446,323.62364699618877,1.9292025517442635,53.8777550253643,64.362490078772,0.7699591993227848,0.005997003010343967,0.20007336523925326,0.7699591993227848,0.8868548514409904,0.5997003010343966
74505,16,399.44374999999997,527.3039884566886,127.86023845668859,128.6214566047538,150.5478758957279,0.37491306781017275,0.32009572926523094,0.3768938076906396,0.37491306781017275,0.9094078764544116,32.0095729265231
KHJO0,19,110.91052631578948,318.8303949253587,207.91986860956916,207.91986860956916,236.72004676864674,-4.881493492258965,1.8746630776737123,2.134333454469837,-4.881493492258965,0.4976554787682937,187.46630776737123
